Frequency (Hz)	Level (dB)
264.892578	-83.035194
265.136719	-81.006111
265.380859	-81.430641
265.625000	-79.967613
265.869141	-81.702049
266.113281	-81.109055
266.357422	-82.158203
266.601562	-82.614830
266.845703	-82.208725
267.089844	-81.908463
267.333984	-79.951393
267.578125	-81.109062
267.822266	-81.635307
268.066406	-82.446419
268.310547	-80.764450
268.554688	-78.379494
268.798828	-79.643616
269.042969	-81.662231
269.287109	-83.841705
269.531250	-84.111198
269.775391	-86.559647
270.019531	-81.111923
270.263672	-81.532532
270.507812	-81.873589
270.751953	-79.858864
270.996094	-82.566856
271.240234	-88.434914
271.484375	-83.213196
271.728516	-82.740700
271.972656	-81.673035
272.216797	-80.282227
272.460938	-80.913948
272.705078	-82.649788
272.949219	-83.976624
273.193359	-82.440262
273.437500	-83.272545
273.681641	-81.152481
273.925781	-84.431580
274.169922	-80.465111
274.414062	-81.112091
274.658203	-85.500893
274.902344	-83.372849
275.146484	-80.186646
275.390625	-85.420006
275.634766	-84.693146
275.878906	-79.250336
276.123047	-82.130783
276.367188	-81.152412
276.611328	-81.182968
276.855469	-81.298431
277.099609	-79.593094
277.343750	-82.217781
277.587891	-83.031624
277.832031	-81.475632
278.076172	-82.797371
278.320312	-82.508629
278.564453	-85.264946
278.808594	-81.821121
279.052734	-81.526161
279.296875	-82.637024
279.541016	-82.258194
279.785156	-82.713570
280.029297	-83.187813
280.273438	-84.341164
280.517578	-85.026871
280.761719	-82.255775
281.005859	-83.113136
281.250000	-82.162697
281.494141	-82.929245
281.738281	-83.158028
281.982422	-80.003937
282.226562	-80.763855
282.470703	-82.080261
282.714844	-82.922096
282.958984	-81.155647
283.203125	-81.083687
283.447266	-78.694016
283.691406	-82.673477
283.935547	-80.431740
284.179688	-81.830132
284.423828	-83.535622
284.667969	-81.854218
284.912109	-80.250381
285.156250	-80.159431
285.400391	-83.404892
285.644531	-81.098114
285.888672	-80.790199
286.132812	-81.470551
286.376953	-83.148483
286.621094	-84.400909
286.865234	-87.100662
287.109375	-79.904327
287.353516	-82.653221
287.597656	-81.529999
287.841797	-81.966324
288.085938	-79.813156
288.330078	-80.149239
288.574219	-79.962326
288.818359	-81.631477
289.062500	-80.371559
289.306641	-81.095139
289.550781	-81.234230
289.794922	-82.328613
290.039062	-83.493240
290.283203	-79.601685
290.527344	-80.439293
290.771484	-83.729942
291.015625	-82.310287
291.259766	-83.909950
291.503906	-79.168915
291.748047	-80.243752
291.992188	-82.836021
292.236328	-82.681007
292.480469	-81.896858
292.724609	-81.555946
292.968750	-80.989922
293.212891	-81.444748
293.457031	-80.437439
293.701172	-79.245461
293.945312	-82.611633
294.189453	-82.267326
294.433594	-82.281288
294.677734	-79.266930
294.921875	-83.955925
295.166016	-83.151306
295.410156	-84.314178
295.654297	-80.076958
295.898438	-82.263145
296.142578	-84.615074
296.386719	-81.192169
296.630859	-80.529465
296.875000	-81.862099
297.119141	-80.396751
297.363281	-82.102669
297.607422	-86.855110
297.851562	-85.979095
298.095703	-84.270927
298.339844	-84.135429
298.583984	-80.797188
298.828125	-81.905334
299.072266	-83.323433
299.316406	-82.179108
299.560547	-81.999893
299.804688	-85.443420
300.048828	-83.449768
300.292969	-81.906975
300.537109	-82.615601
300.781250	-83.097404
301.025391	-81.835854
301.269531	-82.351456
301.513672	-82.091713
301.757812	-83.190025
302.001953	-80.874855
302.246094	-81.682968
302.490234	-79.932594
302.734375	-79.118263
302.978516	-82.406120
303.222656	-80.545998
303.466797	-80.341789
303.710938	-83.487968
303.955078	-83.454880
304.199219	-79.876160
304.443359	-81.252365
304.687500	-84.431290
304.931641	-82.695084
305.175781	-83.904343
305.419922	-81.291550
305.664062	-81.261711
305.908203	-81.137779
306.152344	-81.305626
306.396484	-83.505463
306.640625	-79.212585
306.884766	-81.864685
307.128906	-82.209770
307.373047	-82.164116
307.617188	-80.769714
307.861328	-81.022766
308.105469	-80.799644
308.349609	-81.588722
308.593750	-83.879250
308.837891	-84.498268
309.082031	-80.901016
