Frequency (Hz)	Level (dB)
246.582031	-81.493874
247.070312	-82.217857
247.558594	-83.927353
248.046875	-84.669182
248.535156	-81.769646
249.023438	-79.921455
249.511719	-81.578461
250.000000	-82.403564
250.488281	-81.772903
250.976562	-81.048683
251.464844	-79.556961
251.953125	-82.546112
252.441406	-82.471298
252.929688	-82.642944
253.417969	-79.310944
253.906250	-80.925789
254.394531	-82.171257
254.882812	-79.912979
255.371094	-78.413544
255.859375	-79.972176
256.347656	-80.331657
256.835938	-81.948692
257.324219	-80.358620
257.812500	-80.191948
258.300781	-82.381065
258.789062	-82.002953
259.277344	-82.752052
259.765625	-81.631416
260.253906	-82.229187
260.742188	-82.365776
261.230469	-79.708359
261.718750	-81.292915
262.207031	-84.535866
262.695312	-80.277992
263.183594	-80.812187
263.671875	-80.744873
264.160156	-81.713196
264.648438	-81.320305
265.136719	-81.185867
265.625000	-80.791481
266.113281	-81.829941
266.601562	-82.843399
267.089844	-80.801140
267.578125	-80.880394
268.066406	-80.599144
268.554688	-78.877327
269.042969	-81.560875
269.531250	-83.174042
270.019531	-81.283333
270.507812	-80.442986
270.996094	-81.180656
271.484375	-82.980080
271.972656	-80.822853
272.460938	-79.253418
272.949219	-81.890198
273.437500	-81.699348
273.925781	-82.586662
274.414062	-79.867554
274.902344	-82.393761
275.390625	-83.011246
275.878906	-79.663948
276.367188	-80.838135
276.855469	-79.988365
277.343750	-82.239433
277.832031	-81.645103
278.320312	-82.191650
278.808594	-80.571724
279.296875	-80.967155
279.785156	-82.115990
280.273438	-81.094116
280.761719	-81.995964
281.250000	-81.805054
281.738281	-82.149307
282.226562	-79.821114
282.714844	-78.946121
283.203125	-77.586830
283.691406	-79.553833
284.179688	-80.970985
284.667969	-80.280235
285.156250	-81.093071
285.644531	-81.060928
286.132812	-79.964966
286.621094	-84.149879
287.109375	-80.569748
287.597656	-82.288101
288.085938	-79.791138
288.574219	-81.365051
289.062500	-80.070465
289.550781	-81.792747
290.039062	-82.089455
290.527344	-80.553177
291.015625	-82.273613
291.503906	-80.103081
291.992188	-82.347687
292.480469	-81.168159
292.968750	-80.729881
293.457031	-80.072861
293.945312	-81.246117
294.433594	-80.707619
294.921875	-82.774269
295.410156	-81.823929
295.898438	-81.539398
296.386719	-82.463516
296.875000	-81.259712
297.363281	-82.367065
297.851562	-83.307533
298.339844	-83.372612
298.828125	-82.503609
299.316406	-82.520912
299.804688	-82.731979
300.292969	-81.534683
300.781250	-82.106346
301.269531	-83.767960
301.757812	-81.384743
302.246094	-82.698662
302.734375	-79.639137
303.222656	-80.527130
303.710938	-82.899315
304.199219	-81.731972
304.687500	-82.161598
305.175781	-82.249649
305.664062	-80.924530
306.152344	-81.290947
306.640625	-80.859695
307.128906	-82.605705
307.617188	-80.179688
308.105469	-79.957153
308.593750	-82.188927
309.082031	-80.037010
309.570312	-80.130905
310.058594	-78.932053
310.546875	-83.550232
311.035156	-80.408714
311.523438	-83.387596
312.011719	-82.519943
312.500000	-79.901405
312.988281	-82.597916
313.476562	-81.740440
313.964844	-79.998726
314.453125	-79.689507
314.941406	-81.118217
315.429688	-80.963295
315.917969	-81.186478
316.406250	-83.660156
316.894531	-80.327431
317.382812	-82.452080
317.871094	-80.785072
318.359375	-79.319885
318.847656	-82.647865
319.335938	-82.530128
319.824219	-81.429398
320.312500	-84.689850
320.800781	-81.232338
321.289062	-82.513611
321.777344	-83.185608
322.265625	-82.009560
322.753906	-82.162064
323.242188	-83.008034
323.730469	-82.541748
324.218750	-81.664825
324.707031	-81.406296
325.195312	-82.169144
325.683594	-83.745552
326.171875	-81.970741
326.660156	-81.015175
327.148438	-81.109703
327.636719	-81.090607
328.125000	-84.034851
328.613281	-80.739403
329.101562	-79.909874
329.589844	-79.593414
330.078125	-80.925285
330.566406	-82.124352
331.054688	-80.054131
331.542969	-81.953201
332.031250	-80.547516
332.519531	-81.648575
333.007812	-81.764114
333.496094	-79.487640
333.984375	-82.507141
334.472656	-82.136024
334.960938	-81.923058
335.449219	-80.667305
335.937500	-82.817467
336.425781	-80.531586
336.914062	-83.941719
337.402344	-81.792892
337.890625	-82.055153
338.378906	-80.288506
338.867188	-81.436852
339.355469	-82.046623
339.843750	-82.035042
340.332031	-82.202293
340.820312	-79.858116
341.308594	-81.312187
341.796875	-81.724823
342.285156	-80.701866
342.773438	-80.200516
343.261719	-82.621948
343.750000	-79.744637
344.238281	-82.767258
344.726562	-82.630478
345.214844	-79.744568
345.703125	-81.473900
346.191406	-82.324028
346.679688	-80.956474
347.167969	-80.244423
347.656250	-82.899887
348.144531	-83.384956
348.632812	-80.752907
349.121094	-81.555145
349.609375	-81.244682
350.097656	-81.842049
350.585938	-82.538597
351.074219	-80.216667
351.562500	-78.523048
352.050781	-78.313698
352.539062	-79.810646
353.027344	-82.370811
353.515625	-79.213379
354.003906	-80.312462
354.492188	-79.693382
354.980469	-81.081299
355.468750	-80.464119
355.957031	-80.818939
356.445312	-80.596519
356.933594	-80.989494
357.421875	-80.227760
357.910156	-80.609055
358.398438	-83.165077
358.886719	-79.995842
359.375000	-80.190231
359.863281	-84.144768
360.351562	-80.658806
360.839844	-80.953026
361.328125	-82.826660
361.816406	-80.885834
362.304688	-79.413864
362.792969	-81.691368
363.281250	-81.454224
363.769531	-80.153381
364.257812	-82.361320
364.746094	-81.673096
365.234375	-81.522263
365.722656	-81.487633
366.210938	-83.353531
366.699219	-81.948280
367.187500	-82.384811
367.675781	-79.151047
368.164062	-81.317314
368.652344	-80.069435
369.140625	-79.646248
369.628906	-83.210228
370.117188	-81.500763
370.605469	-80.595856
371.093750	-80.337921
371.582031	-81.730270
372.070312	-84.015709
372.558594	-80.180138
373.046875	-79.268578
373.535156	-80.001198
374.023438	-80.393547
374.511719	-79.711563
375.000000	-80.403915
375.488281	-80.479973
375.976562	-80.860497
376.464844	-82.715462
376.953125	-80.357819
377.441406	-81.257820
377.929688	-83.130646
378.417969	-82.371964
378.906250	-81.022270
379.394531	-80.969025
379.882812	-80.674934
380.371094	-79.708336
380.859375	-81.655922
381.347656	-81.936737
381.835938	-82.237656
382.324219	-80.980370
382.812500	-79.659363
383.300781	-81.856087
383.789062	-79.597511
384.277344	-80.672073
384.765625	-79.694572
385.253906	-78.518082
385.742188	-82.290863
386.230469	-82.160255
386.718750	-80.596992
387.207031	-80.105476
387.695312	-81.543129
388.183594	-80.372337
388.671875	-80.847198
389.160156	-81.713844
389.648438	-80.401642
390.136719	-80.639221
390.625000	-78.207161
391.113281	-81.398201
391.601562	-81.067566
392.089844	-81.839577
392.578125	-83.314796
393.066406	-82.785545
393.554688	-81.386429
394.042969	-79.805580
394.531250	-82.888557
395.019531	-81.185471
395.507812	-80.523895
395.996094	-84.290253
396.484375	-81.298279
396.972656	-81.103355
397.460938	-82.053658
397.949219	-81.103226
398.437500	-82.172211
398.925781	-81.057777
399.414062	-79.253235
399.902344	-78.722527
400.390625	-83.400375
400.878906	-81.345276
401.367188	-82.545197
401.855469	-82.769127
402.343750	-82.097008
402.832031	-80.632126
403.320312	-80.059792
403.808594	-79.639114
404.296875	-80.833549
404.785156	-79.739632
405.273438	-83.607445
405.761719	-83.133636
406.250000	-80.612617
406.738281	-82.358246
407.226562	-79.949203
407.714844	-80.163330
408.203125	-80.230827
408.691406	-80.412102
409.179688	-80.106735
409.667969	-80.963028
410.156250	-82.058334
410.644531	-79.905922
411.132812	-79.393974
411.621094	-79.392632
412.109375	-80.514717
412.597656	-79.661446
413.085938	-79.586418
413.574219	-81.098694
414.062500	-79.217751
414.550781	-79.664787
415.039062	-84.083481
415.527344	-80.449615
416.015625	-80.607658
416.503906	-78.760490
416.992188	-80.421638
417.480469	-80.334976
417.968750	-81.909821
418.457031	-81.028862
418.945312	-81.040138
419.433594	-80.095795
419.921875	-81.149628
420.410156	-79.893341
420.898438	-78.438278
421.386719	-80.373161
421.875000	-81.186096
422.363281	-78.548561
422.851562	-80.849724
423.339844	-79.651253
423.828125	-82.274979
424.316406	-78.523155
424.804688	-80.510254
425.292969	-80.737740
425.781250	-80.541855
426.269531	-79.225128
426.757812	-80.022614
427.246094	-81.283272
427.734375	-80.651108
428.222656	-80.332512
428.710938	-80.816345
429.199219	-83.068764
429.687500	-79.677437
430.175781	-80.647957
430.664062	-80.580132
431.152344	-78.232735
431.640625	-78.257317
432.128906	-78.930099
432.617188	-80.429451
433.105469	-80.148842
433.593750	-80.427277
434.082031	-81.314743
434.570312	-83.278130
435.058594	-80.080864
435.546875	-78.834152
436.035156	-79.467239
436.523438	-79.130692
437.011719	-81.152840
437.500000	-76.725449
437.988281	-80.624611
438.476562	-80.675240
438.964844	-79.460327
439.453125	-78.947006
439.941406	-81.993904
440.429688	-82.330612
440.917969	-81.205872
441.406250	-78.469940
441.894531	-82.960289
442.382812	-79.827705
442.871094	-79.591927
443.359375	-79.703896
443.847656	-81.117943
444.335938	-81.218414
444.824219	-77.549637
445.312500	-81.091011
445.800781	-82.626900
446.289062	-79.613083
446.777344	-79.635414
447.265625	-79.552109
447.753906	-81.096893
448.242188	-79.216957
448.730469	-78.384193
449.218750	-79.969093
449.707031	-80.050400
450.195312	-80.664444
450.683594	-78.325371
451.171875	-78.737457
451.660156	-80.332062
452.148438	-79.813675
452.636719	-80.465553
453.125000	-80.797775
453.613281	-80.991547
454.101562	-78.887962
454.589844	-78.015610
455.078125	-77.849945
455.566406	-79.040833
456.054688	-81.439377
456.542969	-79.104980
457.031250	-79.212372
457.519531	-80.017357
458.007812	-78.645439
458.496094	-80.277107
458.984375	-78.973907
459.472656	-78.801216
459.960938	-79.586220
460.449219	-78.703804
460.937500	-76.317528
461.425781	-76.992119
461.914062	-78.862556
462.402344	-79.666130
462.890625	-78.546631
463.378906	-80.514565
463.867188	-80.367119
464.355469	-78.483971
464.843750	-80.301643
465.332031	-81.119431
465.820312	-80.297325
466.308594	-79.310112
466.796875	-79.036453
467.285156	-77.976021
467.773438	-79.078156
468.261719	-80.368736
468.750000	-78.954117
469.238281	-76.950935
469.726562	-78.805046
470.214844	-78.535965
470.703125	-78.394203
471.191406	-79.685867
471.679688	-81.097237
472.167969	-80.239761
472.656250	-77.953842
473.144531	-77.198624
473.632812	-79.191536
474.121094	-79.832634
474.609375	-79.381485
475.097656	-80.897812
475.585938	-79.993568
