Frequency (Hz)	Level (dB)				
2053.729248	-53.781143				
2055.075073	-53.684628				
2056.420898	-52.74654				
2057.766724	-53.074684				
2059.112549	-53.094841				
2060.458374	-52.406929				
2061.804199	-53.191719				
2063.150024	-53.769516				
2064.49585	-52.513794				
2065.841675	-53.370209				
2067.1875	-53.292736				
2068.533325	-52.412464				
2069.87915	-53.329185				
2071.224976	-52.188843				
2072.570801	-52.52457				
2073.916626	-52.379353				
2075.262451	-53.105419				
2076.608276	-52.180412				
2077.954102	-52.958359				
2079.299927	-52.225899				
2080.645752	-52.321606				
2081.991577	-51.336441				
2083.337402	-51.48642				
2084.683228	-51.519936				
2086.029053	-50.429188				
2087.374878	-50.672977				
2088.720703	-51.590042				
2090.066528	-51.260426				
2091.412354	-50.37405				
2092.758179	-51.531757				
2094.104004	-50.412907				
2095.449829	-50.584156				
2096.795654	-49.635864				
2098.141479	-50.472248				
2099.487305	-50.295799				
2100.83313	-50.407528				
2102.178955	-50.580696				
2103.52478	-50.442066				
2104.870605	-50.594574				
2106.216431	-49.265106				
2107.562256	-48.757927				
2108.908081	-48.471844				
2110.253906	-48.312817				
2111.599731	-49.780388				
2112.945557	-49.108662				
2114.291382	-49.387398				
2115.637207	-48.435982				
2116.983032	-49.106503				
2118.328857	-47.615101				
2119.674683	-48.081799				
2121.020508	-48.722343				
2122.366333	-49.410461				
2123.712158	-48.569138				
2125.057983	-47.532269				
2126.403809	-46.709091				
2127.749634	-47.818501				
2129.095459	-47.262802				
2130.441284	-47.291466				
2131.787109	-46.61821				
2133.132935	-46.22522				
2134.47876	-46.14542				
2135.824585	-46.471375				
2137.17041	-47.109619				
2138.516235	-46.284164				
2139.862061	-45.347713				
2141.207886	-45.651943				
2142.553711	-46.664474				
2143.899536	-45.070492				
2145.245361	-46.097668				
2146.591187	-44.680943				
2147.937012	-44.292423				
2149.282837	-45.768871				
2150.628662	-45.052872				
2151.974487	-43.997986				
2153.320312	-43.757099				
2154.666138	-44.32692				
2156.011963	-43.194805				
