Frequency (Hz)	Level (dB)
239.746094	-75.925606
240.234375	-76.649162
240.722656	-76.339767
241.210938	-76.334900
241.699219	-75.609917
242.187500	-75.848305
242.675781	-75.663849
243.164062	-75.551201
243.652344	-75.513245
244.140625	-75.803825
244.628906	-74.722252
245.117188	-74.357788
245.605469	-75.407074
246.093750	-75.229599
246.582031	-74.778297
247.070312	-74.355591
247.558594	-74.663017
248.046875	-75.432495
248.535156	-74.407692
249.023438	-75.136757
249.511719	-74.748695
250.000000	-74.719193
250.488281	-75.044594
250.976562	-75.176369
251.464844	-75.420593
251.953125	-74.844818
252.441406	-75.026871
252.929688	-75.109413
253.417969	-74.066200
253.906250	-74.481483
254.394531	-75.061989
254.882812	-74.866913
255.371094	-73.389854
255.859375	-72.733864
256.347656	-74.304085
256.835938	-75.214989
257.324219	-74.264603
257.812500	-73.842056
258.300781	-73.729912
258.789062	-74.669136
259.277344	-73.904411
259.765625	-74.969070
260.253906	-74.633537
260.742188	-74.772156
261.230469	-73.776833
261.718750	-74.142136
262.207031	-74.403687
262.695312	-74.472549
263.183594	-74.596161
263.671875	-73.862785
264.160156	-74.459755
264.648438	-73.930237
265.136719	-74.532936
265.625000	-74.141724
266.113281	-74.857323
266.601562	-74.627602
267.089844	-74.259201
267.578125	-74.634460
268.066406	-74.337433
268.554688	-74.176987
269.042969	-74.202934
269.531250	-74.680931
270.019531	-74.540947
270.507812	-74.158882
270.996094	-74.026352
271.484375	-74.440834
271.972656	-74.825684
272.460938	-73.603218
272.949219	-75.392998
273.437500	-75.335899
273.925781	-74.416084
274.414062	-73.626266
274.902344	-75.222595
275.390625	-74.335197
275.878906	-74.001266
276.367188	-74.364922
276.855469	-73.717377
277.343750	-74.244003
277.832031	-74.865784
278.320312	-75.012817
278.808594	-73.734543
279.296875	-74.822487
279.785156	-74.309998
280.273438	-75.295769
280.761719	-74.890312
281.250000	-74.579498
281.738281	-74.537468
282.226562	-75.387527
282.714844	-75.999542
283.203125	-74.296463
283.691406	-75.063316
284.179688	-75.411507
284.667969	-75.508812
285.156250	-75.058685
285.644531	-75.313408
286.132812	-75.532928
286.621094	-75.697052
287.109375	-74.444649
287.597656	-76.121803
288.085938	-74.697754
288.574219	-75.569649
289.062500	-75.687729
289.550781	-75.317940
290.039062	-75.182541
290.527344	-74.967354
291.015625	-75.056030
291.503906	-75.233986
291.992188	-75.788467
292.480469	-75.654137
292.968750	-75.621147
293.457031	-75.021767
293.945312	-76.215828
294.433594	-75.246872
294.921875	-75.578918
295.410156	-76.177765
295.898438	-76.399185
296.386719	-75.612213
296.875000	-75.003120
297.363281	-76.208298
297.851562	-76.580032
298.339844	-75.570534
298.828125	-75.044548
299.316406	-74.247604
299.804688	-75.556816
300.292969	-76.601021
300.781250	-75.456215
301.269531	-76.756630
301.757812	-76.816994
302.246094	-76.664024
302.734375	-74.920204
303.222656	-76.446205
303.710938	-77.390060
304.199219	-76.324783
304.687500	-75.995850
305.175781	-76.301674
305.664062	-75.536903
306.152344	-76.325439
306.640625	-75.265297
307.128906	-77.222878
307.617188	-74.985573
308.105469	-75.360252
308.593750	-76.963554
309.082031	-76.586006
309.570312	-75.124184
310.058594	-74.088943
310.546875	-77.220947
311.035156	-75.519394
311.523438	-76.881630
312.011719	-77.644463
312.500000	-75.125237
312.988281	-76.082191
313.476562	-75.997528
313.964844	-75.316956
314.453125	-75.291420
314.941406	-77.127541
315.429688	-76.228722
315.917969	-77.720825
316.406250	-75.583702
316.894531	-75.014771
317.382812	-76.676285
317.871094	-76.867004
318.359375	-75.863464
318.847656	-75.474892
319.335938	-77.437134
319.824219	-76.638908
320.312500	-77.446457
320.800781	-76.496437
321.289062	-77.460091
321.777344	-77.922722
322.265625	-77.013168
322.753906	-75.456589
323.242188	-76.861046
323.730469	-76.658676
324.218750	-75.223282
324.707031	-76.062706
325.195312	-76.193535
325.683594	-77.104073
326.171875	-77.001625
326.660156	-76.445251
327.148438	-76.323402
327.636719	-77.566635
328.125000	-78.091415
328.613281	-75.374832
329.101562	-76.673828
329.589844	-75.271835
330.078125	-75.823219
330.566406	-76.590477
331.054688	-74.977295
331.542969	-76.438393
332.031250	-77.214943
332.519531	-77.919624
333.007812	-77.623077
333.496094	-76.215210
333.984375	-76.115250
334.472656	-74.834534
334.960938	-76.394501
335.449219	-75.742126
335.937500	-77.271973
336.425781	-76.484863
336.914062	-76.956352
337.402344	-76.763130
337.890625	-76.912506
338.378906	-76.348465
338.867188	-77.633904
339.355469	-78.442390
339.843750	-77.033722
340.332031	-76.246513
340.820312	-74.683876
341.308594	-76.358429
341.796875	-76.349815
342.285156	-76.401352
342.773438	-75.297539
343.261719	-76.313873
343.750000	-73.587471
344.238281	-75.056549
344.726562	-75.240799
345.214844	-73.760666
345.703125	-77.337822
346.191406	-76.416672
346.679688	-75.504013
347.167969	-73.299812
347.656250	-77.248177
348.144531	-77.152199
348.632812	-75.131836
349.121094	-75.874001
349.609375	-76.714409
350.097656	-76.246361
350.585938	-75.698532
351.074219	-75.263443
351.562500	-73.784744
352.050781	-75.530457
352.539062	-74.751564
353.027344	-76.400177
353.515625	-74.839020
354.003906	-74.851524
354.492188	-73.743111
354.980469	-77.126816
355.468750	-74.202003
355.957031	-75.041092
356.445312	-75.565651
356.933594	-75.644371
357.421875	-74.731369
357.910156	-75.410622
358.398438	-77.481674
358.886719	-75.449028
359.375000	-74.963402
359.863281	-76.362457
360.351562	-73.427254
360.839844	-74.080482
361.328125	-76.047226
361.816406	-76.181091
362.304688	-74.888008
362.792969	-74.356216
363.281250	-74.497757
363.769531	-73.769005
364.257812	-75.383415
364.746094	-74.618492
365.234375	-74.277504
365.722656	-75.157959
366.210938	-75.553139
366.699219	-75.738388
367.187500	-74.735031
367.675781	-74.753166
368.164062	-75.346863
368.652344	-74.487122
369.140625	-75.356361
369.628906	-74.615532
370.117188	-74.845673
370.605469	-74.095016
371.093750	-75.675461
371.582031	-74.591469
372.070312	-74.785690
372.558594	-74.495995
373.046875	-73.364044
373.535156	-75.068069
374.023438	-74.858688
374.511719	-74.402710
375.000000	-73.616158
375.488281	-73.619629
375.976562	-74.423370
376.464844	-75.247795
376.953125	-75.037086
377.441406	-74.533188
377.929688	-74.974869
378.417969	-75.204689
378.906250	-75.100548
379.394531	-73.948799
379.882812	-76.512024
380.371094	-73.911499
380.859375	-74.609306
381.347656	-74.273605
381.835938	-72.795746
382.324219	-72.546326
382.812500	-74.196251
383.300781	-73.729904
383.789062	-73.448982
384.277344	-73.470512
384.765625	-74.312859
385.253906	-72.791550
385.742188	-75.392838
386.230469	-74.070717
386.718750	-74.565338
387.207031	-75.311798
387.695312	-73.979973
388.183594	-73.878326
388.671875	-74.676659
389.160156	-74.817444
389.648438	-73.521919
390.136719	-74.333900
390.625000	-74.095207
391.113281	-74.591278
391.601562	-75.427658
392.089844	-75.882713
392.578125	-74.540306
393.066406	-75.353683
393.554688	-73.560242
394.042969	-74.401093
394.531250	-74.985985
395.019531	-73.206551
395.507812	-73.217438
395.996094	-73.681725
396.484375	-73.419708
396.972656	-71.893906
397.460938	-73.640137
397.949219	-74.197113
398.437500	-73.828278
398.925781	-74.516449
399.414062	-72.918694
399.902344	-73.081467
400.390625	-75.326027
400.878906	-73.667625
401.367188	-75.421753
401.855469	-73.289528
402.343750	-73.269356
402.832031	-71.262878
403.320312	-71.222168
403.808594	-72.844681
404.296875	-73.118271
404.785156	-72.276962
405.273438	-74.989128
405.761719	-75.541878
406.250000	-72.419945
406.738281	-73.672935
407.226562	-73.438156
407.714844	-72.924942
408.203125	-75.070312
408.691406	-73.547455
409.179688	-71.289978
409.667969	-72.341385
410.156250	-72.974380
410.644531	-74.419754
411.132812	-74.702049
411.621094	-72.110504
412.109375	-74.205956
412.597656	-74.179726
413.085938	-74.132866
413.574219	-74.256828
414.062500	-74.392319
414.550781	-73.212250
415.039062	-74.160698
415.527344	-72.496918
416.015625	-72.347008
416.503906	-72.859940
416.992188	-74.592476
