Frequency (Hz)	Level (dB)
256.347656	-78.810089
256.835938	-81.079384
257.324219	-77.876617
257.812500	-77.563622
258.300781	-77.187836
258.789062	-78.589378
259.277344	-77.617661
259.765625	-79.603691
260.253906	-79.483810
260.742188	-79.910065
261.230469	-76.842384
261.718750	-78.238159
262.207031	-78.345642
262.695312	-77.853065
263.183594	-77.764076
263.671875	-78.000610
264.160156	-78.640755
264.648438	-77.240898
265.136719	-78.699532
265.625000	-78.067963
266.113281	-78.213989
266.601562	-78.670288
267.089844	-77.046989
267.578125	-78.962517
268.066406	-79.782730
268.554688	-79.374710
269.042969	-78.640442
269.531250	-79.352516
270.019531	-78.489815
270.507812	-77.110268
270.996094	-78.934433
271.484375	-77.913116
271.972656	-79.382050
272.460938	-77.222946
272.949219	-80.459297
273.437500	-79.321220
273.925781	-78.213181
274.414062	-76.266106
274.902344	-80.840691
275.390625	-78.084953
275.878906	-77.947144
276.367188	-76.663704
276.855469	-76.196266
277.343750	-76.804062
277.832031	-78.025368
278.320312	-78.321304
278.808594	-76.949181
279.296875	-79.330536
279.785156	-78.602402
280.273438	-78.652893
280.761719	-78.289383
281.250000	-78.771629
281.738281	-78.888985
282.226562	-77.125153
282.714844	-79.377068
283.203125	-77.686378
283.691406	-77.918251
284.179688	-78.603836
284.667969	-78.581261
285.156250	-78.412514
285.644531	-79.266533
286.132812	-78.516441
286.621094	-78.864395
287.109375	-77.429008
287.597656	-79.816719
288.085938	-77.906815
288.574219	-78.512169
289.062500	-79.292557
289.550781	-78.781448
290.039062	-78.358337
290.527344	-77.104362
291.015625	-77.479965
291.503906	-77.721329
291.992188	-78.436249
292.480469	-78.553154
292.968750	-78.173103
293.457031	-77.693115
293.945312	-79.620903
294.433594	-78.346947
294.921875	-77.984604
295.410156	-79.026917
295.898438	-79.413994
296.386719	-78.079437
296.875000	-77.531853
297.363281	-79.117142
297.851562	-79.489326
298.339844	-79.218719
298.828125	-77.725685
299.316406	-76.301666
299.804688	-78.334541
300.292969	-79.822777
300.781250	-78.486160
301.269531	-79.365463
301.757812	-80.142921
302.246094	-79.464188
302.734375	-77.269516
303.222656	-80.016830
303.710938	-80.606667
304.199219	-78.450119
304.687500	-79.166283
305.175781	-80.426361
305.664062	-78.159332
306.152344	-78.500931
306.640625	-76.941185
307.128906	-79.018356
307.617188	-77.524986
308.105469	-77.017250
308.593750	-80.309418
309.082031	-78.433823
309.570312	-77.355698
310.058594	-76.017960
310.546875	-80.061020
311.035156	-77.700974
311.523438	-78.509460
312.011719	-79.972572
312.500000	-76.536667
312.988281	-78.225883
313.476562	-77.241257
313.964844	-77.048103
314.453125	-77.305756
314.941406	-78.866096
315.429688	-78.053619
315.917969	-80.364082
316.406250	-76.939713
316.894531	-76.223831
317.382812	-78.480400
317.871094	-78.900780
318.359375	-77.266464
318.847656	-76.463135
319.335938	-79.529366
319.824219	-79.974365
